league,viz_week_index,week_start_date_utc,week_end_date_utc,game,network,avg_viewers_millions,source_url
BOX,45,11/11/2024,11/17/2024,"Taylor vs. Serrano II (Undisputed Super Lightweight Title, pre-Paul vs. Tyson)",Netflix,47,https://www.theverge.com/2024/11/19/24300814/netflix-jake-paul-mike-tyson-most-streamed-sporting-event
BOX,46,11/18/2024,11/24/2024,,,0,
BOX,47,11/25/2024,12/1/2024,,,0,
BOX,48,12/2/2024,12/8/2024,,,0,
BOX,49,12/9/2024,12/15/2024,,,0,
BOX,50,12/16/2024,12/22/2024,,,0,
BOX,51,12/23/2024,12/29/2024,,,0,
BOX,52,12/30/2024,1/5/2025,,,0,
NASCAR,1,1/6/2025,1/12/2025,,,0,
NASCAR,2,1/13/2025,1/19/2025,,,0,
NASCAR,3,1/20/2025,1/26/2025,,,0,
NASCAR,4,1/27/2025,2/2/2025,Cook Out Clash (Exhibition),FOX,3.08,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,5,2/3/2025,2/9/2025,,,0,
NASCAR,6,2/10/2025,2/16/2025,DAYTONA 500,FOX,6.671,https://www.reuters.com/sports/daytona-500-draws-mixed-ratings-amid-rain-delays-2025-02-19/
NASCAR,7,2/17/2025,2/23/2025,Ambetter Health 400,FOX,4.586,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,8,2/24/2025,3/2/2025,EchoPark Texas Grand Prix,FOX,4.132,https://en.wikipedia.org/wiki/2025_EchoPark_Automotive_Grand_Prix
NASCAR,9,3/3/2025,3/9/2025,Shriners Children's 500,FS1,2.818,https://en.wikipedia.org/wiki/2025_Shriners_Children%27s_500
NASCAR,10,3/10/2025,3/16/2025,Pennzoil 400,FS1,3.011,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,11,3/17/2025,3/23/2025,Straight Talk Wireless 400,FS1,2.464,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,12,3/24/2025,3/30/2025,Cook Out 400,FS1,2.422,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,13,3/31/2025,4/6/2025,Goodyear 400,FS1,2.517,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,14,4/7/2025,4/13/2025,Food City 500,FS1,2.517,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,15,4/14/2025,4/20/2025,,,0,
NASCAR,16,4/21/2025,4/27/2025,Jack Link's 500,FOX,2.054,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,17,4/28/2025,5/4/2025,Würth 400,FS1,2.56,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,18,5/5/2025,5/11/2025,AdventHealth 400,FS1,2.319,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,19,5/12/2025,5/18/2025,All-Star Race,FS1,1.965,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,20,5/19/2025,5/25/2025,Coca-Cola 600,Amazon,2.72,https://apnews.com/article/nascar-prime-video-chastain-a6333f569f2df3ce0be374dc2067ff0d
NASCAR,21,5/26/2025,6/1/2025,Cracker Barrel 400,Amazon,2.06,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,22,6/2/2025,6/8/2025,FireKeepers Casino 400,Amazon,1.77,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,23,6/9/2025,6/15/2025,Viva México 250,Amazon,2.1,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,24,6/16/2025,6/22/2025,The Great American Getaway 400,Amazon,1.869,https://timesofindia.indiatimes.com/sports/international-sports/nascar-ends-prime-run-at-pocono-with-1-89m-viewers-down-22-from-last-years-usa-network-race/articleshow/122073756.cms
NASCAR,25,6/23/2025,6/29/2025,Quaker State 400,TNT,1.608,https://en.wikipedia.org/wiki/2025_Quaker_State_400
NASCAR,26,6/30/2025,7/6/2025,Grant Park 165 (Chicago Street Race),TNT,3.87,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,27,7/7/2025,7/13/2025,Toyota / Save Mart 350,TNT,2.895,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,28,7/14/2025,7/20/2025,Autotrader EchoPark Automotive 400,TNT,2.009,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,29,7/21/2025,7/27/2025,Brickyard 400,TNT,2.449,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,30,7/28/2025,8/3/2025,Iowa Corn 350,USA Network,2.174,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,31,8/4/2025,8/10/2025,Go Bowling at the Glen,USA Network,1.85,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,32,8/11/2025,8/17/2025,Cook Out 400,USA Network,1.39,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,33,8/18/2025,8/24/2025,Coke Zero Sugar 400,NBC,3.297,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,34,8/25/2025,8/31/2025,Cook Out Southern 500 (R16),USA Network,1.88,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,35,9/1/2025,9/7/2025,Enjoy Illinois 300 (R16),USA Network,1.525,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,36,9/8/2025,9/14/2025,Bass Pro Shops Night Race (R16),USA Network,1.536,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,37,9/15/2025,9/21/2025,Mobil 1 301 (R12),USA Network,1.29,https://dailydownforce.com/the-complete-2025-nascar-tv-viewership-tracker/#elementor-toc__heading-anchor-16
NASCAR,38,9/22/2025,9/28/2025,Hollywood Casino 400 (R12),USA Network,1.794,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,39,9/30/2024,10/6/2024,YellaWood 500 (R12),NBC,3.127,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,40,10/7/2024,10/13/2024,Bank of America ROVAL 400 (12),NBC,2.419,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,41,10/14/2024,10/20/2024,South Point 400 (R8),NBC,2.229,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,42,10/21/2024,10/27/2024,Straight Talk Wireless 400 (R8),NBC,2.344,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,43,10/28/2024,11/3/2024,Xfinity 500 (R8),NBC,2.5,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,44,11/4/2024,11/10/2024,NASCAR Cup Series Championship (R4),NBC,2.895,https://dailydownforce.com/the-complete-2024-nascar-tv-ratings-tracker/
NASCAR,45,11/11/2024,11/17/2024,,,0,
NASCAR,46,11/18/2024,11/24/2024,,,0,
NASCAR,47,11/25/2024,12/1/2024,,,0,
NASCAR,48,12/2/2024,12/8/2024,,,0,
NASCAR,49,12/9/2024,12/15/2024,,,0,
NASCAR,50,12/16/2024,12/22/2024,,,0,
NASCAR,51,12/23/2024,12/29/2024,,,0,
NASCAR,52,12/30/2024,1/5/2025,,,0,
IndyCar,1,1/6/2025,1/12/2025,,,0,
IndyCar,2,1/13/2025,1/19/2025,,,0,
IndyCar,3,1/20/2025,1/26/2025,,,0,
IndyCar,4,1/27/2025,2/2/2025,,,0,
IndyCar,5,2/3/2025,2/9/2025,,,0,
IndyCar,6,2/10/2025,2/16/2025,,,0,
IndyCar,7,2/17/2025,2/23/2025,,,0,
IndyCar,8,2/24/2025,3/2/2025,Firestone Grand Prix of St. Petersburg,NBC,1.417,https://apnews.com/article/7948d11f95118234587c08ec06e1026a?utm_source=chatgpt.com
IndyCar,9,3/3/2025,3/9/2025,,,0,
IndyCar,10,3/10/2025,3/16/2025,,,0,
IndyCar,11,3/17/2025,3/23/2025,The Thermal Club INDYCAR Grand Prix,USA Network,0.704,https://www.indystar.com/story/sports/motor/2025/03/25/indycar-fox-thermal-club-tv-rating-disappointment/82650169007/?utm_source=chatgpt.com
IndyCar,12,3/24/2025,3/30/2025,,,0,
IndyCar,13,3/31/2025,4/6/2025,,,0,
IndyCar,14,4/7/2025,4/13/2025,Acura Grand Prix of Long Beach,NBC,0.552,https://racer.com/2025/04/15/long-beach-enjoys-year-to-year-tv-audience-gain
IndyCar,15,4/14/2025,4/20/2025,,,0,
IndyCar,16,4/21/2025,4/27/2025,Children's of Alabama Indy Grand Prix,USA Network,0.914,https://racer.com/2025/05/06/fox-delivers-indycar-ratings-rebound-at-barber?utm_source=chatgpt.com
IndyCar,17,4/28/2025,5/4/2025,,,0,
IndyCar,18,5/5/2025,5/11/2025,Sonsio Grand Prix,USA Network,0.71,https://www.indystar.com/story/sports/motor/2025/05/13/fox-indycar-tv-ratings-sonsio-grand-prix-dip-indy-500-year-season/83604145007/?utm_source=chatgpt.com
IndyCar,19,5/12/2025,5/18/2025,,,0,
IndyCar,20,5/19/2025,5/25/2025,109th Running of the Indianapolis 500,NBC,7.088,https://www.sportsvideo.org/2025/09/05/ratings-roundup-fox-sees-best-indycar-viewership-since-2012-espn-secures-most-watch-little-league-world-series/?utm_source=chatgpt.com
IndyCar,21,5/26/2025,6/1/2025,Chevrolet Detroit Grand Prix,NBC,1.061,https://www.indycar.com/news/2025/06/06-03-detroit-tv-ratings?utm_source=chatgpt.com
IndyCar,22,6/2/2025,6/8/2025,,,0,
IndyCar,23,6/9/2025,6/15/2025,Bommarito Automotive Group 500,USA Network,1.012,https://www.indystar.com/story/sports/motor/2025/06/17/indycar-tv-ratings-1-million-viewers-st-louis-wwt-raceway/84244594007/?utm_source=chatgpt.com
IndyCar,24,6/16/2025,6/22/2025,XPEL Grand Prix at Road America,USA Network,0.781,https://racer.com/2025/06/24/indycar-s-tv-audience-dips-at-road-america?utm_source=chatgpt.com
IndyCar,25,6/23/2025,6/29/2025,,,0,
IndyCar,26,6/30/2025,7/6/2025,Honda Indy 200 at Mid-Ohio,NBC,0.775,https://racer.com/2025/07/09/775k-viewers-for-mid-ohio-indycar?utm_source=chatgpt.com
IndyCar,27,7/7/2025,7/13/2025,Farm to Finish 275,NBC,0.719,https://racer.com/2025/07/29/fox-s-indycar-laguna-seca-broadcast-delivers-700-000-?utm_source=chatgpt.com
IndyCar,28,7/14/2025,7/20/2025,Ontario Honda Dealers Indy Toronto,USA Network,0.734,https://racer.com/2025/07/22/toronto-maintains-700k-viewership-for-indycar-on-fox?utm_source=chatgpt.com
IndyCar,29,7/21/2025,7/27/2025,Java House Grand Prix of Monterey ,FOX,0.734,https://racer.com/2025/07/29/fox-s-indycar-laguna-seca-broadcast-delivers-700-000-?utm_source=chatgpt.com
IndyCar,30,7/28/2025,8/3/2025,,,0,
IndyCar,31,8/4/2025,8/10/2025,BITNILE.com Grand Prix of Portland,USA Network,0.708,https://racer.com/2025/08/12/indycar-keeps-the-ratings-momentum-rolling-in-portland?utm_source=chatgpt.com
IndyCar,32,8/11/2025,8/17/2025,,,0,
IndyCar,33,8/18/2025,8/24/2025,Snap-on Milwaukee Mile 250,NBC,0.779,https://racer.com/2025/08/26/fox-s-indycar-ratings-hold-firm-in-milwaukee?utm_source=chatgpt.com
IndyCar,34,8/25/2025,8/31/2025,Borchetta Bourbon Music City Grand Prix (Finale),NBC,1.142,https://www.reuters.com/sports/foxs-first-indycar-season-ends-with-boosted-viewership-nashville-2025-09-03/?utm_source=chatgpt.com
IndyCar,35,9/1/2025,9/7/2025,,,0,
IndyCar,36,9/8/2025,9/14/2025,,,0,
IndyCar,37,9/15/2025,9/21/2025,,,0,
IndyCar,38,9/22/2025,9/28/2025,,,0,
IndyCar,39,9/29/2025,10/5/2025,,,0,
IndyCar,40,10/6/2025,10/12/2025,,,0,
IndyCar,41,10/13/2025,10/19/2025,,,0,
IndyCar,42,10/20/2025,10/26/2025,,,0,
IndyCar,43,10/27/2025,11/2/2025,,,0,
IndyCar,44,11/3/2025,11/9/2025,,,0,
IndyCar,45,11/10/2025,11/16/2025,,,0,
IndyCar,46,11/17/2025,11/23/2025,,,0,
IndyCar,47,11/24/2025,11/30/2025,,,0,
IndyCar,48,12/1/2025,12/7/2025,,,0,
IndyCar,49,12/8/2025,12/14/2025,,,0,
IndyCar,50,12/15/2025,12/21/2025,,,0,
IndyCar,51,12/22/2025,12/28/2025,,,0,
IndyCar,52,12/29/2025,1/4/2026,,,0,
F1,1,1/6/2025,1/12/2025,,,0,
F1,2,1/13/2025,1/19/2025,,,0,
F1,3,1/20/2025,1/26/2025,,,0,
F1,4,1/27/2025,2/2/2025,,,0,
F1,5,2/3/2025,2/9/2025,,,0,
F1,6,2/10/2025,2/16/2025,,,0,
F1,7,2/17/2025,2/23/2025,,,0,
F1,8,2/24/2025,3/2/2025,,,0,
F1,9,3/3/2025,3/9/2025,,,0,
F1,10,3/10/2025,3/16/2025,Australian GP,ESPN,1.1,https://racer.com/2025/03/17/f1-australian-gp-espn-ratings/
F1,11,3/17/2025,3/23/2025,Chinese GP,ESPN,0.824,https://www.motorsport.com/f1/news/f1-chinese-gp-2025-us-tv-ratings/
F1,12,3/24/2025,3/30/2025,,,0,
F1,13,3/31/2025,4/6/2025,Japanese GP,ESPN,0.524,https://www.blackbookmotorsport.com/news/nascar-cup-series-darlington-f1-japan-suzuka-espn-viewership-april-2025/?utm_source=chatgpt.com
F1,14,4/7/2025,4/13/2025,Bahrain GP,ESPN,1.27,https://www.blackbookmotorsport.com/news/f1-espn-bahrain-nascar-indycar-fox-bristol-long-beach-us-viewership-april-2025/
F1,15,4/14/2025,4/20/2025,Saudi Arabian GP,ESPN,1.46,https://www.blackbookmotorsport.com/news/f1-saudi-arabia-us-viewership-espn-nascar-xfinity-series-april-2025/?utm_source=chatgpt.com
F1,16,4/21/2025,4/27/2025,,,0,
F1,17,4/28/2025,5/4/2025,Miami GP,ABC,2.17,https://www.reuters.com/sports/formula1/miami-gp-suffers-major-ratings-dip-minus-nba-lead-in-2025-05-07/
F1,18,5/5/2025,5/11/2025,,,0,
F1,19,5/12/2025,5/18/2025,Emilia Romagna GP,ESPN,1.1,https://www.autoracing1.com/pl/450698/tv-news-weekend-usa-motorsports-tv-viewership-ratings/?utm_source=chatgpt.com
F1,20,5/19/2025,5/25/2025,Monaco GP,ABC,2.3,https://espnpressroom.com/us/press-releases/2025/05/monaco-gp-2025-ratings/
F1,21,5/26/2025,6/1/2025,Spanish GP,ESPN,1.2,https://racer.com/2025/06/02/f1-spanish-gp-espn-ratings/
F1,22,6/2/2025,6/8/2025,,,0,
F1,23,6/9/2025,6/15/2025,Canadian GP,ABC,1.9,https://espnpressroom.com/us/press-releases/2025/06/2025-canadian-gp-tv-ratings/
F1,24,6/16/2025,6/22/2025,,,0,
F1,25,6/23/2025,6/29/2025,Austrian GP,ESPN,1.1,https://espnpressroom.com/us/press-releases/2025/07/espn-formula-1-viewership-notes-after-austrian-grand-prix/?utm_source=chatgpt.com
F1,26,6/30/2025,7/6/2025,British GP,ABC,1.5,https://espnpressroom.com/us/press-releases/2025/07/espn-formula-1-coverage-enjoying-record-breaking-season-of-viewership/
F1,27,7/7/2025,7/13/2025,,,0,
F1,28,7/14/2025,7/20/2025,,,0,
F1,29,7/21/2025,7/27/2025,Belgian GP (ESTIMATE),ESPN,1.1,https://espnpressroom.com/us/press-releases/2024/12/formula-1-telecasts-on-espn-platforms-reach-nearly-30-million-fans-in-2024/
F1,30,7/28/2025,8/3/2025,Hungarian GP (ESTIMATE),ESPN,1.1,https://espnpressroom.com/us/press-releases/2024/12/formula-1-telecasts-on-espn-platforms-reach-nearly-30-million-fans-in-2024/
F1,31,8/4/2025,8/10/2025,,,0,
F1,32,8/11/2025,8/17/2025,,,0,
F1,33,8/18/2025,8/24/2025,,,0,
F1,34,8/25/2025,8/31/2025,Dutch GP (ESTIMATE),ESPN,1.1,https://espnpressroom.com/us/press-releases/2024/12/formula-1-telecasts-on-espn-platforms-reach-nearly-30-million-fans-in-2024/
F1,35,9/1/2025,9/7/2025,Italian GP,ABC,1.2,https://espnpressroom.com/us/press-releases/2025/09/f1-italian-gp-2025-ratings/
F1,36,9/8/2025,9/14/2025,,,0,
F1,37,9/15/2025,9/21/2025,Azerbaijan GP,ESPN,1.1,https://espnpressroom.com/us/press-releases/2025/09/another-f1-race-another-viewership-record-on-espn-azerbaijan-grand-prix-gets-its-largest-audience-ever/
F1,38,9/22/2025,9/28/2025,Singapore GP,ESPN,1,https://www.autoracing1.com/pl/435100/tv-news-usa-f1-singapore-gp-tv-viewers-prelim/?utm_source=chatgpt.com
F1,39,9/30/2024,10/6/2024,,,0,
F1,40,10/7/2024,10/13/2024,,,0,
F1,41,10/14/2024,10/20/2024,United States GP,ABC,1.3,https://espnpressroom.com/us/press-releases/2024/10/formula-1-on-espn-viewership-notes-after-u-s-grand-prix/?utm_source=chatgpt.com
F1,42,10/21/2024,10/27/2024,Mexico GP,ESPN,1.4,https://espnpressroom.com/us/press-releases/2024/10/formula-1-on-espn-viewership-notes-after-mexico-city-grand-prix/
F1,43,10/28/2024,11/3/2024,São Paulo GP,ESPN,0.531,https://www.blackbookmotorsport.com/news/us-viewership-f1-brazil-sao-paulo-espn-nascar-martinsville-nbc-november-2024/?utm_source=chatgpt.com
F1,44,11/4/2024,11/10/2024,,,0,
F1,45,11/11/2024,11/17/2024,,,0,
F1,46,11/18/2024,11/24/2024,Las Vegas GP,ESPN,0.905,https://www.sportspro.com/news/f1-las-vegas-grand-prix-viewership-espn-november-2024/?utm_source=chatgpt.com
F1,47,11/25/2024,12/1/2024,Qatar GP,ESPN,0.99,https://www.sportsmediawatch.com/2024/12/ratings-acc-sec-challenge-nba-cup-viewership-nhl-tnt-f1-college-volleyball-mls/?utm_source=chatgpt.com
F1,48,12/2/2024,12/8/2024,Abu Dhabi GP,ESPN,1,https://espnpressroom.com/us/press-releases/2024/12/formula-1-telecasts-on-espn-platforms-reach-nearly-30-million-fans-in-2024/
F1,49,12/9/2024,12/15/2024,,,0,
F1,50,12/16/2024,12/22/2024,,,0,
F1,51,12/23/2024,12/29/2024,,,0,
F1,52,12/30/2024,1/5/2025,,,0,
EPL,1,1/6/2025,1/12/2025,,,0,
EPL,2,1/13/2025,1/19/2025,Aston Villa at Arsenal (MW21&22),NBC,1.2,https://www.sportsbusinessjournal.com/Articles/2025/01/27/Media/premier-league-audience-flat-at-midpoint/
EPL,3,1/20/2025,1/26/2025,ESTIMATE (MW23),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,4,1/27/2025,2/2/2025,ESTIMATE (MW24),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,5,2/3/2025,2/9/2025,,,0,
EPL,6,2/10/2025,2/16/2025,ESTIMATE (MW25),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,7,2/17/2025,2/23/2025,ESTIMATE (MW26),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,8,2/24/2025,3/2/2025,ESTIMATE (MW27),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,9,3/3/2025,3/9/2025,"Arsenal at Manchester United (MW28, ESTIMATE)",NBC,1,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,10,3/10/2025,3/16/2025,ESTIMATE (MW29),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,11,3/17/2025,3/23/2025,,,0,
EPL,12,3/24/2025,3/30/2025,,,0,
EPL,13,3/31/2025,4/6/2025,"Manchester City at Manchester United (MW30&31, Manchester Derby)",NBC,1.4,https://www.sportsmediawatch.com/sports-ratings-tracker/?smwnf_tag=english-premier-league#
EPL,14,4/7/2025,4/13/2025,ESTIMATE (MW32),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,15,4/14/2025,4/20/2025,ESTIMATE (MW33),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,16,4/21/2025,4/27/2025,ESTIMATE (MW34),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,17,4/28/2025,5/4/2025,"Liverpool at Chelsea (MW35, ESTIMATE)",NBC,1,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,18,5/5/2025,5/11/2025,ESTIMATE (MW36),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,19,5/12/2025,5/18/2025,ESTIMATE (MW37),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,20,5/19/2025,5/25/2025,"ESTIMATE (MW38, Championship Sunday)",NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,21,5/27/2024,6/2/2024,,,0,
EPL,22,6/3/2024,6/9/2024,,,0,
EPL,23,6/10/2024,6/16/2024,,,0,
EPL,24,6/17/2024,6/23/2024,,,0,
EPL,25,6/24/2024,6/30/2024,,,0,
EPL,26,7/1/2024,7/7/2024,,,0,
EPL,27,7/8/2024,7/14/2024,,,0,
EPL,28,7/15/2024,7/21/2024,,,0,
EPL,29,7/22/2024,7/28/2024,,,0,
EPL,30,7/29/2024,8/4/2024,,,0,
EPL,31,8/5/2024,8/11/2024,,,0,
EPL,32,8/12/2024,8/18/2024,Manchester City at Chelsea (MW1),NBC,1.85,https://www.sportsmediawatch.com/sports-ratings-tracker/?smwnf_tag=english-premier-league#
EPL,33,8/19/2024,8/25/2024,ESTIMATE (MW2),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,34,8/26/2024,9/1/2024,Manchester City at West Ham (MW3),NBC,1.2,https://www.sportsbusinessjournal.com/Articles/2025/01/27/Media/premier-league-audience-flat-at-midpoint/
EPL,35,9/2/2024,9/8/2024,,,0,
EPL,36,9/9/2024,9/15/2024,"Arsenal at Tottenham (MW4, ESTIMATE)",NBC,1,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,37,9/16/2024,9/22/2024,ESTIMATE (MW5),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,38,9/23/2024,9/29/2024,ESTIMATE (MW6),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,39,9/30/2024,10/6/2024,ESTIMATE (MW7),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,40,10/7/2024,10/13/2024,,,0,
EPL,41,10/14/2024,10/20/2024,ESTIMATE (MW8),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,42,10/21/2024,10/27/2024,ESTIMATE (MW9),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,43,10/28/2024,11/3/2024,"Chelsea at Manchester United (MW10, ESTIMATE)",NBC,1,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,44,11/4/2024,11/10/2024,ESTIMATE (MW11),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,45,11/11/2024,11/17/2024,,,0,
EPL,46,11/18/2024,11/24/2024,ESTIMATE(MW12),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,47,11/25/2024,12/1/2024,"Manchester City at Liverpool (MW13, ESTIMATE)",NBC,1,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,48,12/2/2024,12/8/2024,ESTIMATE (MW14&15),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,49,12/9/2024,12/15/2024,ESTIMATE (MW16),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
EPL,50,12/16/2024,12/22/2024,ESTIMATE (MW17),NBC,0.7,https://www.nbcsports.com/pressbox/press-releases/nbcuniversal-caps-action-packed-premier-league-season-finishing-on-site-in-the-u-k-for-fourth-consecutive-championship-sunday
